"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.522134019E0,-3.256114423E-1,-9.600749016E-1,9.935936928E0
3.532174247E0,-3.351882398E-1,-9.241618514E-1,9.943120003E0
3.542214475E0,-3.112462163E-1,-9.026140571E-1,9.923966408E0
3.552285221E0,-3.256114423E-1,-8.547300100E-1,9.890447617E0
3.562325450E0,-3.136404157E-1,-8.355764151E-1,9.840168953E0
3.572396196E0,-3.303998411E-1,-7.613561153E-1,9.758766174E0
3.582436424E0,-3.423708379E-1,-7.302315235E-1,9.780313492E0
3.592507170E0,-3.687070608E-1,-7.445967197E-1,9.842563629E0
3.602547398E0,-3.663128614E-1,-7.781155705E-1,9.864110947E0
3.612618144E0,-3.495534360E-1,-7.948749661E-1,9.856928825E0
3.622658373E0,-3.758896589E-1,-8.188169599E-1,9.799467087E0
3.632729119E0,-3.351882398E-1,-8.212111592E-1,9.737217903E0
3.642769347E0,-3.543418646E-1,-8.188169599E-1,9.765948296E0
3.652840093E0,-3.208230138E-1,-7.924807668E-1,9.873687744E0
3.662880321E0,-3.088520169E-1,-7.852981687E-1,9.952696800E0
3.672951067E0,-3.208230138E-1,-7.589619160E-1,9.921571732E0
3.682991295E0,-3.351882398E-1,-7.445967197E-1,9.928754807E0
3.693062041E0,-3.495534360E-1,-7.422025204E-1,9.923966408E0
3.703102270E0,-3.040636182E-1,-7.206547260E-1,9.911994934E0
3.713173016E0,-2.992752194E-1,-7.015010715E-1,9.892841339E0
3.723213244E0,-3.112462163E-1,-7.206547260E-1,9.832986832E0
3.733283990E0,-3.112462163E-1,-6.943184733E-1,9.823410034E0
3.743324218E0,-3.327940404E-1,-6.703764796E-1,9.780313492E0
3.753394964E0,-3.375824392E-1,-6.105214357E-1,9.753977776E0
3.763435193E0,-3.184288144E-1,-6.033388376E-1,9.816226959E0
3.773505939E0,-3.232172430E-1,-5.793967843E-1,9.890447617E0
3.783546167E0,-3.088520169E-1,-5.841852427E-1,9.964667320E0
3.793586395E0,-3.184288144E-1,-5.410895944E-1,1.001494598E1
3.803657141E0,-3.112462163E-1,-5.554547906E-1,9.988609314E0
3.813697369E0,-3.184288144E-1,-5.003881454E-1,9.938331604E0
3.823768115E0,-2.896983922E-1,-4.716577232E-1,9.926360130E0
3.833808344E0,-2.657563984E-1,-4.309563041E-1,9.852140427E0
3.843848572E0,-2.753331959E-1,-3.878606856E-1,9.763554573E0
3.853919318E0,-2.968810201E-1,-4.189853072E-1,9.706093788E0
3.863959546E0,-2.992752194E-1,-4.237737060E-1,9.785101891E0
3.874030292E0,-2.849099934E-1,-3.854664862E-1,1.000058079E1
3.884070521E0,-2.849099934E-1,-3.615244627E-1,1.002931118E1
3.894141267E0,-2.873041928E-1,-3.902548850E-1,9.832986832E0
3.904181495E0,-2.992752194E-1,-4.165911078E-1,9.610325813E0
